Q,A
"알렉스, 데이빗이 늑대인간 환상을 고수했니?","음, 그래, 하지만 그는 친구의 죽음에 더 화가 난 것 같아."
"음, 그래, 하지만 그는 친구의 죽음에 더 화가 난 것 같아.",그의 친구가 그에게 또 나타났니?
그의 친구가 그에게 또 나타났니?,네
네,뭐라고 하셨죠?
뭐라고 하셨죠?,David은 잭이 그에게 경고하러 온다고 말한다.
David은 잭이 그에게 경고하러 온다고 말한다.,경고해?
경고해?,"허쉬 박사, 왜 그래? 내가 아는 것보다 더 심각한 거야?"
"허쉬 박사, 왜 그래? 내가 아는 것보다 더 심각한 거야?","나는 그 공격을 조사하려고 했다. 기록이 없어 그 사건은 종결되었고 이제 그들은 그 파일을 '잘못 배치'했다. 데이빗의 열상들은 그가 여기 도착했을 때 깨끗이 닦이고 옷을 입었지만, 내가 보기 전에 어떤 의사도 그를 진찰하지 않았을 것이다. 굿맨 소년은 이미 땅속에 있어서 우리에게 도움이 되지 않는다. 그래서 나는 이스트 프록터의 펍에 가서 두 가지를 확신했다."
"나는 그 공격을 조사하려고 했다. 기록이 없어 그 사건은 종결되었고 이제 그들은 그 파일을 '잘못 배치'했다. 데이빗의 열상들은 그가 여기 도착했을 때 깨끗이 닦이고 옷을 입었지만, 내가 보기 전에 어떤 의사도 그를 진찰하지 않았을 것이다. 굿맨 소년은 이미 땅속에 있어서 우리에게 도움이 되지 않는다. 그래서 나는 이스트 프록터의 펍에 가서 두 가지를 확신했다.",네
네,"그들은 거짓말을 하고 있었다. 목격자도, 탈출한 미치광이도 없었다. 모든 지역사회가 거기서 실제로 일어났던 일의 진실을 숨기고 있다."
"그들은 거짓말을 하고 있었다. 목격자도, 탈출한 미치광이도 없었다. 모든 지역사회가 거기서 실제로 일어났던 일의 진실을 숨기고 있다.",그리고 또 무엇?
그리고 또 무엇?,"나는 이스트 프록터 마을이 어떤 어둡고 끔찍한 비밀을 숨기고 있다고 생각한다. 나는 데이빗처럼, 그들은 이 늑대인간을 믿는다고 확신한다."
데이빗이 어딨는지 전혀 모르나?,"아니, 나 말고는 런던에 아는 사람이 없어 그를 혼자 내버려 두지 말았어야 했어."
확실히 넌 제안하는 건 아니겠지...,"David은 심한 외상을 입었다. 나 자신도 이스트 프록터에서 어떤 형태의 집단 노이로제를 목격했다. 마을 사람들이 모두 잭 굿맨이 늑대인간에게 죽었다고 믿는다면, 왜 데이빗은 죽이지 말아야 하는가? 그 다음엔 늑대인간 공격에서 살아남는다면 그 자신도 다음 보름달이 뜨는 늑대인간이 되지 않을까?"
"David은 심한 외상을 입었다. 나 자신도 이스트 프록터에서 어떤 형태의 집단 노이로제를 목격했다. 마을 사람들이 모두 잭 굿맨이 늑대인간에게 죽었다고 믿는다면, 왜 데이빗은 죽이지 말아야 하는가? 그 다음엔 늑대인간 공격에서 살아남는다면 그 자신도 다음 보름달이 뜨는 늑대인간이 되지 않을까?",허쉬 박사님?
허쉬 박사님?,"아, 네 발로 뛰어다니며 달을 보고 울부짖는 건 아니잖아. 그러나 그런 정신 나간 상태에서 그는 자기 자신, 아니 어쩌면 다른 사람들을 해칠 수도 있다."
"아, 네 발로 뛰어다니며 달을 보고 울부짖는 건 아니잖아. 그러나 그런 정신 나간 상태에서 그는 자기 자신, 아니 어쩌면 다른 사람들을 해칠 수도 있다.",어떡하지
어떡하지,경찰에 전화해서 우리 방황하는 소년을 찾는 데 도움이 될 수 있는지 알아보자.
그는 여기에 있다.,그는 괜찮니? 왜 전화 안 했어? 그는 어디에 있었는가?
그는 괜찮니? 왜 전화 안 했어? 그는 어디에 있었는가?,그는 기억하지 못한다. 그는 동물원에서 일어났다.
그는 기억하지 못한다. 그는 동물원에서 일어났다.,동물원? 그는 이성적인가?
동물원? 그는 이성적인가?,"그래, 그는 그렇다. 그는 매우 흥분하고 혼란스럽지만, 그것이 당신이 의미하는 바라면 그는 미치지 않았다."
"그래, 그는 그렇다. 그는 매우 흥분하고 혼란스럽지만, 그것이 당신이 의미하는 바라면 그는 미치지 않았다.",오늘 신문 읽었니? 너는 라디오나 텔레비전을 들어본 적이 있니?
오늘 신문 읽었니? 너는 라디오나 텔레비전을 들어본 적이 있니?,"아니, 왜?"
"아니, 왜?",David이 이상하게 행동하고 있니?
David이 이상하게 행동하고 있니?,"아니, 그렇지 않아."
아무 문제 없이 이곳으로 올 수 있겠니?,"그래, 그렇게 생각해야지."
"그래, 그렇게 생각해야지.","좋아, 잘 들어 데이빗을 여기로 데려왔으면 해. 난 그가 내 보살핌을 받았으면 좋겠다. 우리가 그를 찾았다고 경찰에 알릴게. 반드시 그를 병원으로 바로 데려와야 한다. 이해하겠어?"
"좋아, 잘 들어 데이빗을 여기로 데려왔으면 해. 난 그가 내 보살핌을 받았으면 좋겠다. 우리가 그를 찾았다고 경찰에 알릴게. 반드시 그를 병원으로 바로 데려와야 한다. 이해하겠어?","네, 닥터."
"네, 닥터.",그가 제정신인 게 확실해? 도움은 필요 없을 거야?
그가 제정신인 게 확실해? 도움은 필요 없을 거야?,그는 괜찮아. 바로 갈게.
그는 괜찮아. 바로 갈게.,차를 보낼까?
차를 보낼까?,"아니, 택시가 더 빠를 거야."
"아니, 택시가 더 빠를 거야.",곧 올 겁니다.
어떡하지,차가 좋을 것 같아.
홉스 간호사는 레스터 광장에서 미친 개와 관련된 소동이 있다고 말했다.,데이비드?
데이비드?,글쎄요. 하지만 그것은 할 일이다.
미치광이가 아니었다.,뭐라고?
뭐라고?,늑대였다.
늑대였다.,뭐?
뭐?,늑대.
케슬러 씨?,네?
네?,점심 안 먹었잖아.
점심 안 먹었잖아.,"난 별로 배고프지 않아, 고마워."
"난 별로 배고프지 않아, 고마워.",뭘 좀 먹어야 할 것 같아.
뭘 좀 먹어야 할 것 같아.,"제발, 정말. 배고프지 않아."
"제발, 정말. 배고프지 않아.","당신은 나를 난처한 입장에 빠뜨렸습니다, 케슬러 씨."
"당신은 나를 난처한 입장에 빠뜨렸습니다, 케슬러 씨.",어때?
어때?,"음, 이거 먹고 나서 먹어야지. 만약 내가 약을 나눠주는 것 같은 간단한 일에 실패한다면 나는 어떤 간호사가 될까?"
"음, 이거 먹고 나서 먹어야지. 만약 내가 약을 나눠주는 것 같은 간단한 일에 실패한다면 나는 어떤 간호사가 될까?",약은 놔둬. 나중에 가져갈게.
약은 놔둬. 나중에 가져갈게.,미안해
"왜 이래, 프라이스 양!",알렉스라고 불러줘
알렉스라고 불러줘,"제발, 알렉스!"
"제발, 알렉스!","케슬러 씨, 억지로라도 먹여 줄까?"
데이비드라고 불러줘.,"억지로라도 먹여줄까, 데이빗?"
"억지로라도 먹여줄까, 데이빗?",이건 말도 안 돼. 배고프지 않아. 나는 어떤 음식도 원하지 않는다.
이건 말도 안 돼. 배고프지 않아. 나는 어떤 음식도 원하지 않는다.,맞아.
"조금만 더 노력하자, 응?",나 좀 봐줄래?
넌 정말 아름다운 소녀야.,난 네가 자고 있는 줄 알았어.
난 네가 자고 있는 줄 알았어.,그랬어. 뭐 읽고 있어?
그랬어. 뭐 읽고 있어?,마크 트웨인의 '아더 킹 코트의 코네티컷 양키'
마크 트웨인의 '아더 킹 코트의 코네티컷 양키',마음에 드십니까?
마음에 드십니까?,방금 시작했어. 친구가 준 거야.
너는 무슨 꿈을 꾸니?,나는 주로 죽음을 꿈꾼다.
나는 주로 죽음을 꿈꾼다.,미안하다. 너한테 물어보지 말았어야 했어.
미안하다. 너한테 물어보지 말았어야 했어.,괜찮아 너랑 얘기하고 싶어.
나이가 어떻게 되십니까?,그것은 정말 적절한 질문이 아니다.
그것은 정말 적절한 질문이 아니다.,나이가 어떻게 되십니까?
나이가 어떻게 되십니까?,스물여덟.
스물여덟.,나는 스물일곱 살이다.
나는 스물일곱 살이다.,알아
알아,이제 무슨 얘기를 하고 싶으세요?
이제 무슨 얘기를 하고 싶으세요?,잭 굿맨이 너의 좋은 친구였니?
잭 굿맨이 너의 좋은 친구였니?,나의 가장 친한 친구. 나의 가장 친한 친구.
나의 가장 친한 친구. 나의 가장 친한 친구.,내가 너에게 읽어줄까?
내가 너에게 읽어줄까?,"뭐? 오, 그래, 제발."
"뭐? 오, 그래, 제발.",새뮤얼 L. 클레멘스의 아더 킹 코트에 있는 코네티컷 양키. 이것은 서문 뒤에 있지만 제1장: 설명의 말 한 마디 전이다. 너 괜찮아?
새뮤얼 L. 클레멘스의 아더 킹 코트에 있는 코네티컷 양키. 이것은 서문 뒤에 있지만 제1장: 설명의 말 한 마디 전이다. 너 괜찮아?,"그래, 계속해봐."
"그래, 계속해봐.","아헴, 설명의 말. 내가 이야기할 낯선 사람을 우연히 만난 것은 워릭 성에서였다. 그는 그의 솔직한 소박함, 고대의 갑옷에 대한 놀라운 친근감, 그리고 그의 회사의 편안함 등 세 가지에 의해 나를 끌어당겼다. 왜냐하면 그는 모든 이야기를 했기 때문이다. 우리는 평범한 사람들이 떼의 미행으로 함께 떨어졌지..."
"안녕, 괜찮아?",깨워서 죄송합니다
깨워서 죄송합니다,바보같이 굴지 마. 뭐 좀 줄까?
바보같이 굴지 마. 뭐 좀 줄까?,"아니, 고마워. 잠깐 나랑 같이 있어 줘."
"아니, 고마워. 잠깐 나랑 같이 있어 줘.",그건 충분히 쉽다.
그건 충분히 쉽다.,난 정말 끔찍한 꿈을 계속 꾸고 있어. 그들은 점점 더 나빠지고 있고 나는 그들을 멈출 수 없을 것 같다.
난 정말 끔찍한 꿈을 계속 꾸고 있어. 그들은 점점 더 나빠지고 있고 나는 그들을 멈출 수 없을 것 같다.,"데이비드, 네 꿈은 멈출 거야 당신은 영국과 당신의 나쁜 기억들을 떠나게 될 것이다. 그리고 이것은 모두 사라질 것이다."
"데이비드, 네 꿈은 멈출 거야 당신은 영국과 당신의 나쁜 기억들을 떠나게 될 것이다. 그리고 이것은 모두 사라질 것이다.",나랑 같이 갈래?
나랑 같이 갈래?,뭐?
뭐?,진심이야. 넌 날 모르고 난 너에 대해 아무것도 몰라. 우리는 완벽한 관계를 맺고 있다.
진심이야. 넌 날 모르고 난 너에 대해 아무것도 몰라. 우리는 완벽한 관계를 맺고 있다.,"데이빗, 내가 같이 있어 주겠다고 했지만 지금 여기서 말하는 거야"
"데이빗, 내가 같이 있어 주겠다고 했지만 지금 여기서 말하는 거야",생각해 볼래?
생각해 볼래?,네 나쁜 꿈에서 내가 환자와 함께 휴가를 보내게 된 건 어떻게 된 거야?
네 나쁜 꿈에서 내가 환자와 함께 휴가를 보내게 된 건 어떻게 된 거야?,"단순한 환자가 아니라, 나."
"단순한 환자가 아니라, 나.",너 너무 솔직하지 않니?
너 너무 솔직하지 않니?,"용서해 줘, 나는 기운을 차리려고 하는데 아름다운 간호사와의 불륜은 그저 그런 것만 같았다."
"용서해 줘, 나는 기운을 차리려고 하는데 아름다운 간호사와의 불륜은 그저 그런 것만 같았다.",내가 너한테 주는 건 섹스 판타지뿐이야?
내가 너한테 주는 건 섹스 판타지뿐이야?,이제 창피하다.
이제 창피하다.,좋아. 나는 잠시 방안에서 나 혼자만 당황해 하는구나 하고 생각했다.
난 늑대인간이야,늑대인간?
이제 좀 괜찮아졌니?,다음 보름달을 알려줄게.
다음 보름달을 알려줄게.,너는 내일 퇴원할 거야. 괜찮겠니?
내 친구 잭이 방금 여기 있었어.,죽은 네 친구 잭?
죽은 네 친구 잭?,"응, 이틀 후면 괴물이 될 거래 어떻게 생각해?"
"응, 이틀 후면 괴물이 될 거래 어떻게 생각해?",내가 어떻게 생각해? 이틀 안에 괴물이 될 수도 있고 죽은 친구들의 방문에 대해서도 말하는 거야?
내가 어떻게 생각해? 이틀 안에 괴물이 될 수도 있고 죽은 친구들의 방문에 대해서도 말하는 거야?,내가 또 꿈을 꿨다고?
내가 또 꿈을 꿨다고?,전 그렇게 생각합니다.
전 그렇게 생각합니다.,"그래, 나도 그렇게 생각하겠지."
부엌.,아주 좋아.
옷장.,매력적이다.
매력적이다.,욕실.
욕실.,사랑스럽다.
사랑스럽다.,침실.
침실.,침대가 하나밖에 없다.
침대가 하나밖에 없다.,"데이비드, 내가 샤워하는 동안 텔레비전을 보는 게 좋을 거야."
만나뵈서 반갑습니다,만나뵈서 반갑습니다
알렉스?,네?
네?,약 15분 후에 오십니까?
약 15분 후에 오십니까?,물론이지
물론이지,좋아
"데이비드, 네 친구 잭이 무덤에서 너와 함께 아침식사를 하러 나왔다고 진심으로 믿지 않니? 당신은 진심인가요?",나는 깨어 있었고 그는 내 방에 있었다.
나는 깨어 있었고 그는 내 방에 있었다.,"하지만, 데이비드."
"하지만, 데이비드.",난 환각이 아니었어
내일은 보름달이다.,"잘했어, 알렉스 안심시켜줘."
"이제 날 보내줘, 늦을 거야.",큰 부탁 하나 들어줄래?
큰 부탁 하나 들어줄래?,아무거나.
아무거나.,내가 걱정하는 것은 어리석은 짓이라고 말해줘.
내가 걱정하는 것은 어리석은 짓이라고 말해줘.,네가 걱정하다니 바보 같은 짓이다.
네가 걱정하다니 바보 같은 짓이다.,늑대인간은 존재하지 않는다.
늑대인간은 존재하지 않는다.,"데이비드, 오늘 밤 여기 있어줄까?"
"데이비드, 오늘 밤 여기 있어줄까?","응, 하지만 일하러 가."
"들어봐, 너무 불안하면 병원에 전화해, 알았지?",알았어
알았어,그 알약들은 널 위해 남겨뒀어.
그 알약들은 널 위해 남겨뒀어.,늑대인간.
난 간다. 냉장고에 음식이 있어.,나중에 보자.
데이비드! 도대체 어디 있었던 거야!?!,추워 죽겠어.
"알렉스, 정신이 나갔어. 나 동물원에서 일어났어! 하지만 그거 알아? 기분이 너무 좋아!",동물원?
